run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
base,0-59,300,3000,4.754,1.197,124.444,0.25
base,0-59,600,3000,3.82,0.155,19.286,0.433
base,0-59,900,3000,3.843,0.104,14.208,0.417
base,0-59,1200,3000,3.559,0.07,10.608,0.583
base,0-59,1500,3000,3.267,0.014,4.709,0.45
base,0-59,1800,3000,2.985,0.021,5.038,0.583
base,0-59,2100,3000,2.849,0.037,6.542,0.567
base,0-59,2400,3000,2.374,0.01,3.418,0.567
base,0-59,2700,3000,1.911,0.006,2.533,0.6
base,0-59,3000,3000,1.462,0.005,1.999,0.633
base,60-119,300,3000,4.331,1.222,126.506,0.25
base,60-119,600,3000,3.606,0.179,21.532,0.5
base,60-119,900,3000,3.428,0.073,10.709,0.483
base,60-119,1200,3000,3.452,0.036,7.054,0.517
base,60-119,1500,3000,2.88,0.052,8.068,0.633
base,60-119,1800,3000,2.71,0.023,4.968,0.617
base,60-119,2100,3000,2.525,0.007,3.261,0.65
base,60-119,2400,3000,2.223,0.009,3.086,0.667
base,60-119,2700,3000,1.779,0.004,2.187,0.617
base,60-119,3000,3000,1.767,0.007,2.44,0.667
base,120-179,300,3000,4.563,0.984,102.952,0.25
base,120-179,600,3000,3.949,0.178,21.74,0.433
base,120-179,900,3000,3.501,0.049,8.412,0.483
base,120-179,1200,3000,3.538,0.078,11.303,0.55
base,120-179,1500,3000,3.523,0.051,8.668,0.55
base,120-179,1800,3000,3.227,0.018,5.025,0.6
base,120-179,2100,3000,2.57,0.008,3.356,0.583
base,120-179,2400,3000,2.553,0.008,3.375,0.583
base,120-179,2700,3000,2.105,0.009,3.049,0.633
base,120-179,3000,3000,1.883,0.008,2.707,0.667
base,180-239,300,3000,4.453,1.491,153.59,0.217
base,180-239,600,3000,4.084,0.259,29.977,0.367
base,180-239,900,3000,4.044,0.079,11.969,0.417
base,180-239,1200,3000,3.633,0.026,6.21,0.55
base,180-239,1500,3000,3.508,0.03,6.475,0.517
base,180-239,1800,3000,3.029,0.012,4.186,0.55
base,180-239,2100,3000,3.047,0.012,4.204,0.517
base,180-239,2400,3000,2.19,0.012,3.41,0.717
base,180-239,2700,3000,2.319,0.01,3.306,0.567
base,180-239,3000,3000,1.703,0.006,2.275,0.567
base,240-299,300,3000,4.527,1.246,129.106,0.283
base,240-299,600,3000,3.77,0.178,21.551,0.433
base,240-299,900,3000,3.974,0.085,12.463,0.367
base,240-299,1200,3000,3.456,0.018,5.212,0.633
base,240-299,1500,3000,3.24,0.034,6.653,0.633
base,240-299,1800,3000,3.03,0.017,4.774,0.6
base,240-299,2100,3000,2.65,0.018,4.461,0.65
base,240-299,2400,3000,2.138,0.006,2.78,0.633
base,240-299,2700,3000,1.777,0.009,2.651,0.667
base,240-299,3000,3000,1.631,0.009,2.558,0.7
