run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb_cross_entr,0-59,300,3000,3.037,6.887,691.768,0.017
bb_cross_entr,0-59,600,3000,1.45,6.549,656.306,0.15
bb_cross_entr,0-59,900,3000,0.613,6.447,645.277,0.267
bb_cross_entr,0-59,1200,3000,0.378,6.373,637.667,0.3
bb_cross_entr,0-59,1500,3000,0.128,6.311,631.239,0.25
bb_cross_entr,0-59,1800,3000,0.12,6.294,629.556,0.3
bb_cross_entr,0-59,2100,3000,0.069,6.293,629.414,0.4
bb_cross_entr,0-59,2400,3000,0.054,6.294,629.413,0.267
bb_cross_entr,0-59,2700,3000,0.047,6.293,629.387,0.333
bb_cross_entr,0-59,3000,3000,0.026,6.293,629.345,0.4
bb_cross_entr,60-119,300,3000,3.596,6.832,686.802,0.033
bb_cross_entr,60-119,600,3000,1.536,6.506,652.166,0.183
bb_cross_entr,60-119,900,3000,0.891,6.315,632.366,0.433
bb_cross_entr,60-119,1200,3000,0.517,6.295,630.052,0.383
bb_cross_entr,60-119,1500,3000,0.233,6.28,628.19,0.35
bb_cross_entr,60-119,1800,3000,0.251,6.261,626.318,0.35
bb_cross_entr,60-119,2100,3000,0.068,6.262,626.254,0.4
bb_cross_entr,60-119,2400,3000,0.048,6.26,626.033,0.367
bb_cross_entr,60-119,2700,3000,0.046,6.224,622.456,0.367
bb_cross_entr,60-119,3000,3000,0.034,6.219,621.906,0.45
bb_cross_entr,120-179,300,3000,3.477,6.787,682.174,0.0
bb_cross_entr,120-179,600,3000,1.868,6.501,651.924,0.283
bb_cross_entr,120-179,900,3000,0.971,6.349,635.881,0.317
bb_cross_entr,120-179,1200,3000,0.783,6.313,632.106,0.383
bb_cross_entr,120-179,1500,3000,0.347,6.295,629.816,0.383
bb_cross_entr,120-179,1800,3000,0.156,6.245,624.613,0.35
bb_cross_entr,120-179,2100,3000,0.186,6.197,619.847,0.417
bb_cross_entr,120-179,2400,3000,0.129,6.194,619.494,0.417
bb_cross_entr,120-179,2700,3000,0.127,6.193,619.459,0.4
bb_cross_entr,120-179,3000,3000,0.141,6.182,618.343,0.4
bb_cross_entr,180-239,300,3000,3.469,6.873,690.774,0.017
bb_cross_entr,180-239,600,3000,1.669,6.627,664.365,0.083
bb_cross_entr,180-239,900,3000,0.928,6.46,646.914,0.233
bb_cross_entr,180-239,1200,3000,0.648,6.405,641.129,0.25
bb_cross_entr,180-239,1500,3000,0.47,6.379,638.327,0.167
bb_cross_entr,180-239,1800,3000,0.262,6.315,631.757,0.3
bb_cross_entr,180-239,2100,3000,0.134,6.286,628.716,0.233
bb_cross_entr,180-239,2400,3000,0.068,6.227,622.801,0.233
bb_cross_entr,180-239,2700,3000,0.053,6.21,621.102,0.317
bb_cross_entr,180-239,3000,3000,0.05,6.21,621.067,0.3
bb_cross_entr,240-299,300,3000,3.668,6.851,688.796,0.017
bb_cross_entr,240-299,600,3000,1.544,6.482,649.752,0.233
bb_cross_entr,240-299,900,3000,0.804,6.413,642.105,0.233
bb_cross_entr,240-299,1200,3000,0.704,6.287,629.433,0.4
bb_cross_entr,240-299,1500,3000,0.314,6.244,624.714,0.417
bb_cross_entr,240-299,1800,3000,0.197,6.236,623.821,0.417
bb_cross_entr,240-299,2100,3000,0.067,6.23,623.034,0.4
bb_cross_entr,240-299,2400,3000,0.035,6.228,622.866,0.483
bb_cross_entr,240-299,2700,3000,0.037,6.21,621.044,0.45
bb_cross_entr,240-299,3000,3000,0.023,6.179,617.964,0.4
