run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb_double_sigm,0-59,300,3000,3.423,6.875,690.906,0.017
bb_double_sigm,0-59,600,3000,1.689,6.598,661.537,0.117
bb_double_sigm,0-59,900,3000,0.708,6.48,648.678,0.2
bb_double_sigm,0-59,1200,3000,0.299,6.433,643.622,0.183
bb_double_sigm,0-59,1500,3000,0.178,6.378,637.941,0.233
bb_double_sigm,0-59,1800,3000,0.115,6.345,634.628,0.233
bb_double_sigm,0-59,2100,3000,0.096,6.344,634.474,0.2
bb_double_sigm,0-59,2400,3000,0.048,6.327,632.701,0.25
bb_double_sigm,0-59,2700,3000,0.038,6.326,632.681,0.283
bb_double_sigm,0-59,3000,3000,0.024,6.327,632.687,0.283
bb_double_sigm,60-119,300,3000,3.513,6.814,684.892,0.05
bb_double_sigm,60-119,600,3000,1.73,6.54,655.716,0.233
bb_double_sigm,60-119,900,3000,1.109,6.338,634.954,0.3
bb_double_sigm,60-119,1200,3000,0.843,6.247,625.575,0.433
bb_double_sigm,60-119,1500,3000,0.313,6.213,621.609,0.317
bb_double_sigm,60-119,1800,3000,0.18,6.195,619.653,0.433
bb_double_sigm,60-119,2100,3000,0.137,6.194,619.546,0.467
bb_double_sigm,60-119,2400,3000,0.081,6.177,617.776,0.433
bb_double_sigm,60-119,2700,3000,0.056,6.177,617.741,0.5
bb_double_sigm,60-119,3000,3000,0.039,6.177,617.706,0.417
bb_double_sigm,120-179,300,3000,3.459,6.752,678.697,0.083
bb_double_sigm,120-179,600,3000,2.045,6.511,653.096,0.183
bb_double_sigm,120-179,900,3000,1.047,6.349,635.903,0.367
bb_double_sigm,120-179,1200,3000,0.673,6.28,628.679,0.383
bb_double_sigm,120-179,1500,3000,0.413,6.261,626.49,0.333
bb_double_sigm,120-179,1800,3000,0.27,6.261,626.347,0.4
bb_double_sigm,120-179,2100,3000,0.114,6.261,626.192,0.4
bb_double_sigm,120-179,2400,3000,0.083,6.26,626.094,0.35
bb_double_sigm,120-179,2700,3000,0.068,6.26,626.079,0.383
bb_double_sigm,120-179,3000,3000,0.062,6.227,622.755,0.517
bb_double_sigm,180-239,300,3000,3.201,6.86,689.243,0.05
bb_double_sigm,180-239,600,3000,1.766,6.529,654.685,0.217
bb_double_sigm,180-239,900,3000,1.03,6.384,639.419,0.233
bb_double_sigm,180-239,1200,3000,0.467,6.378,638.286,0.283
bb_double_sigm,180-239,1500,3000,0.274,6.337,634.018,0.3
bb_double_sigm,180-239,1800,3000,0.256,6.312,631.44,0.3
bb_double_sigm,180-239,2100,3000,0.165,6.311,631.224,0.35
bb_double_sigm,180-239,2400,3000,0.072,6.31,631.071,0.35
bb_double_sigm,180-239,2700,3000,0.077,6.31,631.073,0.333
bb_double_sigm,180-239,3000,3000,0.073,6.292,629.306,0.417
bb_double_sigm,240-299,300,3000,3.596,6.807,684.285,0.1
bb_double_sigm,240-299,600,3000,1.617,6.543,655.926,0.25
bb_double_sigm,240-299,900,3000,0.719,6.443,645.009,0.233
bb_double_sigm,240-299,1200,3000,0.608,6.408,641.437,0.283
bb_double_sigm,240-299,1500,3000,0.245,6.394,639.69,0.333
bb_double_sigm,240-299,1800,3000,0.132,6.377,637.811,0.317
bb_double_sigm,240-299,2100,3000,0.086,6.377,637.754,0.283
bb_double_sigm,240-299,2400,3000,0.075,6.361,636.126,0.333
bb_double_sigm,240-299,2700,3000,0.046,6.36,636.032,0.3
bb_double_sigm,240-299,3000,3000,0.023,6.36,636.024,0.367
