run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb,0-59,300,3000,4.426,1.083,112.745,0.233
bb,0-59,600,3000,4.204,0.132,17.4,0.317
bb,0-59,900,3000,3.737,0.133,17.018,0.433
bb,0-59,1200,3000,3.44,0.021,5.5,0.517
bb,0-59,1500,3000,3.14,0.025,5.634,0.6
bb,0-59,1800,3000,2.982,0.013,4.241,0.583
bb,0-59,2100,3000,2.692,0.01,3.69,0.567
bb,0-59,2400,3000,2.287,0.009,3.191,0.467
bb,0-59,2700,3000,2.259,0.013,3.586,0.633
bb,0-59,3000,3000,1.6,0.01,2.606,0.617
bb,60-119,300,3000,4.254,1.625,166.749,0.267
bb,60-119,600,3000,3.764,0.176,21.403,0.533
bb,60-119,900,3000,3.72,0.066,10.352,0.517
bb,60-119,1200,3000,3.265,0.038,7.06,0.6
bb,60-119,1500,3000,3.033,0.018,4.829,0.55
bb,60-119,1800,3000,2.909,0.011,3.965,0.733
bb,60-119,2100,3000,2.576,0.046,7.156,0.733
bb,60-119,2400,3000,2.425,0.014,3.788,0.567
bb,60-119,2700,3000,1.941,0.004,2.349,0.617
bb,60-119,3000,3000,1.532,0.005,2.079,0.683
bb,120-179,300,3000,4.391,1.22,126.424,0.317
bb,120-179,600,3000,3.898,0.192,23.117,0.367
bb,120-179,900,3000,4.169,0.165,20.653,0.467
bb,120-179,1200,3000,3.711,0.07,10.692,0.533
bb,120-179,1500,3000,3.486,0.026,6.086,0.7
bb,120-179,1800,3000,2.966,0.024,5.415,0.5
bb,120-179,2100,3000,2.923,0.014,4.293,0.567
bb,120-179,2400,3000,2.602,0.016,4.187,0.567
bb,120-179,2700,3000,2.029,0.007,2.703,0.583
bb,120-179,3000,3000,1.667,0.007,2.387,0.733
bb,180-239,300,3000,4.578,1.12,116.549,0.183
bb,180-239,600,3000,4.12,0.229,26.978,0.35
bb,180-239,900,3000,3.953,0.063,10.265,0.517
bb,180-239,1200,3000,3.64,0.076,11.238,0.467
bb,180-239,1500,3000,3.461,0.019,5.367,0.517
bb,180-239,1800,3000,2.845,0.015,4.302,0.583
bb,180-239,2100,3000,2.612,0.022,4.853,0.6
bb,180-239,2400,3000,2.074,0.014,3.476,0.6
bb,180-239,2700,3000,2.093,0.022,4.294,0.6
bb,180-239,3000,3000,1.798,0.006,2.364,0.683
bb,240-299,300,3000,4.38,1.045,108.871,0.317
bb,240-299,600,3000,3.718,0.114,15.155,0.433
bb,240-299,900,3000,3.989,0.06,10.019,0.433
bb,240-299,1200,3000,3.21,0.037,6.953,0.583
bb,240-299,1500,3000,2.93,0.011,4.001,0.567
bb,240-299,1800,3000,2.602,0.02,4.569,0.617
bb,240-299,2100,3000,2.339,0.011,3.456,0.583
bb,240-299,2400,3000,2.385,0.03,5.412,0.683
bb,240-299,2700,3000,2.097,0.005,2.619,0.75
bb,240-299,3000,3000,1.697,0.005,2.225,0.683
