run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb_top5,0-59,300,3000,3.24,27.631,2766.343,0.0
bb_top5,0-59,600,3000,0.714,26.764,2677.094,0.0
bb_top5,0-59,900,3000,0.209,27.631,2763.311,0.0
bb_top5,0-59,1200,3000,0.045,27.631,2763.147,0.0
bb_top5,0-59,1500,3000,0.076,27.631,2763.178,0.0
bb_top5,0-59,1800,3000,0.015,27.201,2720.119,0.0
bb_top5,0-59,2100,3000,0.014,27.631,2763.116,0.0
bb_top5,0-59,2400,3000,0.022,27.631,2763.124,0.017
bb_top5,0-59,2700,3000,0.007,27.199,2719.915,0.0
bb_top5,0-59,3000,3000,0.008,27.631,2763.11,0.0
bb_top5,60-119,300,3000,3.314,27.631,2766.417,0.0
bb_top5,60-119,600,3000,0.772,27.194,2720.201,0.0
bb_top5,60-119,900,3000,0.099,26.762,2676.303,0.0
bb_top5,60-119,1200,3000,0.043,27.631,2763.146,0.0
bb_top5,60-119,1500,3000,0.027,27.631,2763.13,0.0
bb_top5,60-119,1800,3000,0.029,27.199,2719.938,0.0
bb_top5,60-119,2100,3000,0.006,27.631,2763.108,0.0
bb_top5,60-119,2400,3000,0.008,27.631,2763.111,0.0
bb_top5,60-119,2700,3000,0.009,27.631,2763.111,0.0
bb_top5,60-119,3000,3000,0.003,27.201,2720.108,0.0
bb_top5,120-179,300,3000,3.192,27.631,2766.294,0.017
bb_top5,120-179,600,3000,0.845,27.631,2763.947,0.0
bb_top5,120-179,900,3000,0.132,27.631,2763.234,0.017
bb_top5,120-179,1200,3000,0.055,27.631,2763.157,0.0
bb_top5,120-179,1500,3000,0.038,27.201,2720.143,0.0
bb_top5,120-179,1800,3000,0.017,26.76,2676.063,0.0
bb_top5,120-179,2100,3000,0.011,26.764,2676.443,0.0
bb_top5,120-179,2400,3000,0.008,27.199,2719.916,0.0
bb_top5,120-179,2700,3000,0.005,27.194,2719.434,0.0
bb_top5,120-179,3000,3000,0.011,27.196,2719.585,0.0
bb_top5,180-239,300,3000,2.787,27.631,2765.889,0.017
bb_top5,180-239,600,3000,0.809,27.631,2763.911,0.0
bb_top5,180-239,900,3000,0.189,27.631,2763.291,0.0
bb_top5,180-239,1200,3000,0.041,27.631,2763.143,0.0
bb_top5,180-239,1500,3000,0.029,27.631,2763.131,0.0
bb_top5,180-239,1800,3000,0.019,27.631,2763.121,0.0
bb_top5,180-239,2100,3000,0.01,27.631,2763.112,0.0
bb_top5,180-239,2400,3000,0.008,27.194,2719.438,0.0
bb_top5,180-239,2700,3000,0.006,27.199,2719.914,0.0
bb_top5,180-239,3000,3000,0.003,27.631,2763.105,0.0
bb_top5,240-299,300,3000,3.106,27.631,2766.208,0.0
bb_top5,240-299,600,3000,0.528,27.631,2763.63,0.0
bb_top5,240-299,900,3000,0.224,27.631,2763.326,0.0
bb_top5,240-299,1200,3000,0.042,27.631,2763.144,0.0
bb_top5,240-299,1500,3000,0.038,27.631,2763.14,0.0
bb_top5,240-299,1800,3000,0.015,27.631,2763.117,0.0
bb_top5,240-299,2100,3000,0.017,27.631,2763.119,0.0
bb_top5,240-299,2400,3000,0.005,27.631,2763.107,0.017
bb_top5,240-299,2700,3000,0.004,27.201,2720.109,0.0
bb_top5,240-299,3000,3000,0.014,27.631,2763.116,0.0
