run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb_cross_entr,0-59,300,4200,3.725,6.877,691.463,0.0
bb_cross_entr,0-59,600,4200,1.946,6.552,657.156,0.083
bb_cross_entr,0-59,900,4200,0.862,6.371,637.935,0.167
bb_cross_entr,0-59,1200,4200,0.588,6.297,630.32,0.3
bb_cross_entr,0-59,1500,4200,0.218,6.279,628.159,0.317
bb_cross_entr,0-59,1800,4200,0.114,6.278,627.91,0.283
bb_cross_entr,0-59,2100,4200,0.074,6.26,626.102,0.317
bb_cross_entr,0-59,2400,4200,0.086,6.26,626.107,0.317
bb_cross_entr,0-59,2700,4200,0.053,6.244,624.408,0.317
bb_cross_entr,0-59,3000,4200,0.014,6.243,624.354,0.333
bb_cross_entr,0-59,3300,4200,0.031,6.227,622.688,0.383
bb_cross_entr,0-59,3600,4200,0.02,6.226,622.654,0.35
bb_cross_entr,0-59,3900,4200,0.013,6.226,622.634,0.3
bb_cross_entr,0-59,4200,4200,0.017,6.226,622.641,0.383
bb_cross_entr,60-119,300,4200,3.328,6.823,685.622,0.05
bb_cross_entr,60-119,600,4200,1.634,6.445,646.17,0.3
bb_cross_entr,60-119,900,4200,0.772,6.365,637.235,0.35
bb_cross_entr,60-119,1200,4200,0.442,6.313,631.789,0.4
bb_cross_entr,60-119,1500,4200,0.242,6.278,628.01,0.433
bb_cross_entr,60-119,1800,4200,0.223,6.244,624.669,0.367
bb_cross_entr,60-119,2100,4200,0.069,6.227,622.766,0.433
bb_cross_entr,60-119,2400,4200,0.116,6.211,621.178,0.517
bb_cross_entr,60-119,2700,4200,0.059,6.176,617.619,0.533
bb_cross_entr,60-119,3000,4200,0.04,6.16,616.027,0.417
bb_cross_entr,60-119,3300,4200,0.036,6.143,614.376,0.517
bb_cross_entr,60-119,3600,4200,0.03,6.143,614.337,0.467
bb_cross_entr,60-119,3900,4200,0.021,6.143,614.321,0.5
bb_cross_entr,60-119,4200,4200,0.013,6.11,611.015,0.433
bb_cross_entr,120-179,300,4200,3.378,6.773,680.682,0.083
bb_cross_entr,120-179,600,4200,1.657,6.421,643.751,0.267
bb_cross_entr,120-179,900,4200,0.959,6.366,637.564,0.4
bb_cross_entr,120-179,1200,4200,0.594,6.311,631.727,0.383
bb_cross_entr,120-179,1500,4200,0.298,6.295,629.839,0.4
bb_cross_entr,120-179,1800,4200,0.142,6.278,627.904,0.433
bb_cross_entr,120-179,2100,4200,0.099,6.261,626.164,0.4
bb_cross_entr,120-179,2400,4200,0.124,6.261,626.18,0.4
bb_cross_entr,120-179,2700,4200,0.084,6.235,623.607,0.417
bb_cross_entr,120-179,3000,4200,0.075,6.217,621.803,0.433
bb_cross_entr,120-179,3300,4200,0.055,6.178,617.814,0.467
bb_cross_entr,120-179,3600,4200,0.044,6.177,617.743,0.45
bb_cross_entr,120-179,3900,4200,0.041,6.127,612.769,0.467
bb_cross_entr,120-179,4200,4200,0.02,6.127,612.707,0.4
bb_cross_entr,180-239,300,4200,3.591,6.898,693.412,0.0
bb_cross_entr,180-239,600,4200,1.749,6.589,660.693,0.133
bb_cross_entr,180-239,900,4200,1.122,6.419,643.038,0.183
bb_cross_entr,180-239,1200,4200,0.445,6.399,640.299,0.25
bb_cross_entr,180-239,1500,4200,0.218,6.332,633.401,0.267
bb_cross_entr,180-239,1800,4200,0.214,6.312,631.449,0.283
bb_cross_entr,180-239,2100,4200,0.132,6.294,629.483,0.35
bb_cross_entr,180-239,2400,4200,0.132,6.247,624.807,0.383
bb_cross_entr,180-239,2700,4200,0.09,6.244,624.522,0.333
bb_cross_entr,180-239,3000,4200,0.063,6.227,622.792,0.433
bb_cross_entr,180-239,3300,4200,0.038,6.21,621.067,0.417
bb_cross_entr,180-239,3600,4200,0.047,6.21,621.065,0.367
bb_cross_entr,180-239,3900,4200,0.019,6.21,621.012,0.333
bb_cross_entr,180-239,4200,4200,0.02,6.21,620.998,0.4
bb_cross_entr,240-299,300,4200,3.597,6.842,687.804,0.033
bb_cross_entr,240-299,600,4200,1.526,6.54,655.521,0.283
bb_cross_entr,240-299,900,4200,0.813,6.409,641.728,0.317
bb_cross_entr,240-299,1200,4200,0.483,6.374,637.863,0.333
bb_cross_entr,240-299,1500,4200,0.296,6.311,631.387,0.4
bb_cross_entr,240-299,1800,4200,0.22,6.261,626.32,0.367
bb_cross_entr,240-299,2100,4200,0.136,6.227,622.842,0.433
bb_cross_entr,240-299,2400,4200,0.146,6.21,621.167,0.45
bb_cross_entr,240-299,2700,4200,0.052,6.199,620.0,0.45
bb_cross_entr,240-299,3000,4200,0.046,6.178,617.882,0.433
bb_cross_entr,240-299,3300,4200,0.031,6.178,617.782,0.4
bb_cross_entr,240-299,3600,4200,0.024,6.177,617.742,0.45
bb_cross_entr,240-299,3900,4200,0.042,6.144,614.465,0.45
bb_cross_entr,240-299,4200,4200,0.014,6.143,614.345,0.433
