run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
base,0-59,300,4200,4.303,0.842,88.519,0.233
base,0-59,600,4200,3.79,0.205,24.246,0.383
base,0-59,900,4200,3.434,0.087,12.176,0.483
base,0-59,1200,4200,3.395,0.059,9.333,0.483
base,0-59,1500,4200,3.447,0.055,8.965,0.483
base,0-59,1800,4200,2.912,0.012,4.082,0.65
base,0-59,2100,4200,2.479,0.011,3.568,0.567
base,0-59,2400,4200,2.536,0.006,3.174,0.617
base,0-59,2700,4200,1.795,0.006,2.425,0.733
base,0-59,3000,4200,1.56,0.007,2.309,0.633
base,0-59,3300,4200,1.464,0.006,2.033,0.633
base,0-59,3600,4200,1.098,0.007,1.758,0.683
base,0-59,3900,4200,0.567,0.003,0.876,0.667
base,0-59,4200,4200,0.612,0.003,0.907,0.583
base,60-119,300,4200,3.949,1.05,108.909,0.317
base,60-119,600,4200,3.549,0.125,16.075,0.483
base,60-119,900,4200,3.526,0.115,15.067,0.55
base,60-119,1200,4200,3.195,0.036,6.745,0.683
base,60-119,1500,4200,2.982,0.02,5.001,0.633
base,60-119,1800,4200,2.664,0.009,3.57,0.6
base,60-119,2100,4200,2.669,0.011,3.719,0.583
base,60-119,2400,4200,2.328,0.007,3.004,0.583
base,60-119,2700,4200,1.819,0.005,2.358,0.683
base,60-119,3000,4200,1.46,0.008,2.27,0.683
base,60-119,3300,4200,1.136,0.005,1.638,0.617
base,60-119,3600,4200,1.054,0.003,1.386,0.7
base,60-119,3900,4200,0.848,0.004,1.244,0.733
base,60-119,4200,4200,0.699,0.005,1.192,0.667
base,120-179,300,4200,4.306,1.103,114.635,0.233
base,120-179,600,4200,3.79,0.125,16.312,0.467
base,120-179,900,4200,3.819,0.107,14.53,0.5
base,120-179,1200,4200,3.57,0.029,6.474,0.467
base,120-179,1500,4200,3.062,0.017,4.726,0.533
base,120-179,1800,4200,3.234,0.013,4.534,0.5
base,120-179,2100,4200,2.824,0.015,4.32,0.55
base,120-179,2400,4200,2.488,0.01,3.511,0.617
base,120-179,2700,4200,1.923,0.005,2.398,0.5
base,120-179,3000,4200,1.665,0.005,2.156,0.583
base,120-179,3300,4200,1.375,0.005,1.913,0.583
base,120-179,3600,4200,0.975,0.005,1.506,0.717
base,120-179,3900,4200,0.717,0.003,1.061,0.483
base,120-179,4200,4200,0.615,0.018,2.457,0.633
base,180-239,300,4200,4.147,1.355,139.612,0.283
base,180-239,600,4200,3.986,0.19,22.985,0.433
base,180-239,900,4200,3.478,0.084,11.902,0.467
base,180-239,1200,4200,3.38,0.032,6.561,0.483
base,180-239,1500,4200,3.273,0.012,4.512,0.633
base,180-239,1800,4200,3.216,0.011,4.359,0.5
base,180-239,2100,4200,2.694,0.009,3.606,0.5
base,180-239,2400,4200,2.148,0.008,2.928,0.567
base,180-239,2700,4200,1.778,0.004,2.166,0.483
base,180-239,3000,4200,1.389,0.01,2.414,0.65
base,180-239,3300,4200,1.444,0.005,1.942,0.783
base,180-239,3600,4200,0.968,0.005,1.456,0.617
base,180-239,3900,4200,0.69,0.003,1.003,0.65
base,180-239,4200,4200,0.574,0.003,0.859,0.567
base,240-299,300,4200,4.369,1.207,125.08,0.267
base,240-299,600,4200,3.574,0.205,24.107,0.45
base,240-299,900,4200,3.537,0.132,16.761,0.467
base,240-299,1200,4200,3.353,0.031,6.497,0.567
base,240-299,1500,4200,2.89,0.018,4.706,0.667
base,240-299,1800,4200,2.597,0.012,3.802,0.55
base,240-299,2100,4200,2.592,0.011,3.719,0.533
base,240-299,2400,4200,2.133,0.007,2.805,0.6
base,240-299,2700,4200,1.929,0.01,2.95,0.583
base,240-299,3000,4200,1.644,0.005,2.109,0.65
base,240-299,3300,4200,1.209,0.004,1.626,0.583
base,240-299,3600,4200,1.053,0.003,1.36,0.683
base,240-299,3900,4200,0.844,0.007,1.513,0.767
base,240-299,4200,4200,0.49,0.002,0.721,0.683
