run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb_double_sigm,0-59,300,4200,3.364,6.884,691.727,0.0
bb_double_sigm,0-59,600,4200,1.281,6.584,659.68,0.15
bb_double_sigm,0-59,900,4200,0.707,6.483,649.004,0.25
bb_double_sigm,0-59,1200,4200,0.443,6.387,639.132,0.283
bb_double_sigm,0-59,1500,4200,0.279,6.363,636.613,0.3
bb_double_sigm,0-59,1800,4200,0.157,6.345,634.668,0.283
bb_double_sigm,0-59,2100,4200,0.076,6.329,632.961,0.317
bb_double_sigm,0-59,2400,4200,0.066,6.328,632.818,0.333
bb_double_sigm,0-59,2700,4200,0.041,6.31,631.082,0.317
bb_double_sigm,0-59,3000,4200,0.031,6.277,627.767,0.333
bb_double_sigm,0-59,3300,4200,0.016,6.277,627.693,0.333
bb_double_sigm,0-59,3600,4200,0.057,6.26,626.104,0.3
bb_double_sigm,0-59,3900,4200,0.015,6.243,624.351,0.3
bb_double_sigm,0-59,4200,4200,0.023,6.243,624.349,0.367
bb_double_sigm,60-119,300,4200,3.338,6.832,686.506,0.067
bb_double_sigm,60-119,600,4200,1.652,6.541,655.724,0.217
bb_double_sigm,60-119,900,4200,0.982,6.336,634.615,0.35
bb_double_sigm,60-119,1200,4200,0.576,6.295,630.03,0.467
bb_double_sigm,60-119,1500,4200,0.426,6.286,628.998,0.4
bb_double_sigm,60-119,1800,4200,0.196,6.277,627.913,0.383
bb_double_sigm,60-119,2100,4200,0.112,6.244,624.48,0.433
bb_double_sigm,60-119,2400,4200,0.102,6.234,623.504,0.433
bb_double_sigm,60-119,2700,4200,0.034,6.227,622.761,0.483
bb_double_sigm,60-119,3000,4200,0.081,6.209,620.992,0.467
bb_double_sigm,60-119,3300,4200,0.042,6.178,617.826,0.467
bb_double_sigm,60-119,3600,4200,0.031,6.173,617.33,0.5
bb_double_sigm,60-119,3900,4200,0.038,6.147,614.713,0.45
bb_double_sigm,60-119,4200,4200,0.026,6.143,614.286,0.55
bb_double_sigm,120-179,300,4200,3.441,6.781,681.585,0.1
bb_double_sigm,120-179,600,4200,1.662,6.452,646.859,0.25
bb_double_sigm,120-179,900,4200,0.778,6.341,634.831,0.3
bb_double_sigm,120-179,1200,4200,0.628,6.219,622.541,0.417
bb_double_sigm,120-179,1500,4200,0.468,6.21,621.466,0.4
bb_double_sigm,120-179,1800,4200,0.242,6.186,618.818,0.45
bb_double_sigm,120-179,2100,4200,0.133,6.146,614.71,0.4
bb_double_sigm,120-179,2400,4200,0.086,6.144,614.492,0.45
bb_double_sigm,120-179,2700,4200,0.051,6.144,614.472,0.45
bb_double_sigm,120-179,3000,4200,0.037,6.144,614.44,0.35
bb_double_sigm,120-179,3300,4200,0.031,6.144,614.382,0.467
bb_double_sigm,120-179,3600,4200,0.037,6.144,614.429,0.417
bb_double_sigm,120-179,3900,4200,0.031,6.127,612.709,0.483
bb_double_sigm,120-179,4200,4200,0.023,6.127,612.684,0.417
bb_double_sigm,180-239,300,4200,3.378,6.855,688.876,0.033
bb_double_sigm,180-239,600,4200,2.056,6.525,654.546,0.15
bb_double_sigm,180-239,900,4200,1.003,6.381,639.115,0.3
bb_double_sigm,180-239,1200,4200,0.655,6.364,637.021,0.333
bb_double_sigm,180-239,1500,4200,0.273,6.345,634.807,0.283
bb_double_sigm,180-239,1800,4200,0.176,6.344,634.589,0.3
bb_double_sigm,180-239,2100,4200,0.09,6.344,634.451,0.45
bb_double_sigm,180-239,2400,4200,0.111,6.346,634.663,0.383
bb_double_sigm,180-239,2700,4200,0.036,6.327,632.688,0.3
bb_double_sigm,180-239,3000,4200,0.036,6.31,631.029,0.333
bb_double_sigm,180-239,3300,4200,0.037,6.288,628.794,0.383
bb_double_sigm,180-239,3600,4200,0.047,6.245,624.585,0.267
bb_double_sigm,180-239,3900,4200,0.024,6.228,622.78,0.367
bb_double_sigm,180-239,4200,4200,0.019,6.227,622.67,0.383
bb_double_sigm,240-299,300,4200,3.118,6.847,687.834,0.033
bb_double_sigm,240-299,600,4200,1.659,6.541,655.808,0.167
bb_double_sigm,240-299,900,4200,0.915,6.343,635.236,0.35
bb_double_sigm,240-299,1200,4200,0.493,6.281,628.582,0.317
bb_double_sigm,240-299,1500,4200,0.477,6.261,626.61,0.417
bb_double_sigm,240-299,1800,4200,0.095,6.244,624.498,0.467
bb_double_sigm,240-299,2100,4200,0.089,6.238,623.869,0.4
bb_double_sigm,240-299,2400,4200,0.062,6.228,622.824,0.367
bb_double_sigm,240-299,2700,4200,0.045,6.227,622.765,0.467
bb_double_sigm,240-299,3000,4200,0.022,6.211,621.098,0.45
bb_double_sigm,240-299,3300,4200,0.031,6.21,621.025,0.45
bb_double_sigm,240-299,3600,4200,0.015,6.21,621.014,0.45
bb_double_sigm,240-299,3900,4200,0.025,6.187,618.729,0.383
bb_double_sigm,240-299,4200,4200,0.015,6.16,616.051,0.433
