run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb,0-59,300,4200,4.501,1.168,121.323,0.267
bb,0-59,600,4200,4.121,0.199,23.972,0.367
bb,0-59,900,4200,4.082,0.08,12.102,0.483
bb,0-59,1200,4200,3.397,0.029,6.3,0.4
bb,0-59,1500,4200,3.534,0.014,4.933,0.533
bb,0-59,1800,4200,3.203,0.011,4.318,0.533
bb,0-59,2100,4200,2.322,0.006,2.958,0.567
bb,0-59,2400,4200,2.276,0.008,3.102,0.583
bb,0-59,2700,4200,2.091,0.004,2.51,0.65
bb,0-59,3000,4200,1.742,0.005,2.21,0.533
bb,0-59,3300,4200,1.398,0.003,1.708,0.567
bb,0-59,3600,4200,0.962,0.004,1.33,0.6
bb,0-59,3900,4200,0.806,0.003,1.09,0.617
bb,0-59,4200,4200,0.595,0.003,0.892,0.667
bb,60-119,300,4200,4.569,1.114,116.001,0.233
bb,60-119,600,4200,3.953,0.132,17.176,0.5
bb,60-119,900,4200,3.353,0.051,8.417,0.483
bb,60-119,1200,4200,3.369,0.025,5.882,0.6
bb,60-119,1500,4200,3.188,0.014,4.612,0.717
bb,60-119,1800,4200,2.692,0.015,4.172,0.7
bb,60-119,2100,4200,2.45,0.011,3.545,0.683
bb,60-119,2400,4200,2.38,0.021,4.489,0.683
bb,60-119,2700,4200,1.815,0.014,3.242,0.633
bb,60-119,3000,4200,1.559,0.004,1.933,0.7
bb,60-119,3300,4200,1.092,0.004,1.523,0.7
bb,60-119,3600,4200,1.077,0.004,1.521,0.7
bb,60-119,3900,4200,0.88,0.004,1.276,0.7
bb,60-119,4200,4200,0.526,0.002,0.75,0.583
bb,120-179,300,4200,3.978,0.82,85.984,0.2
bb,120-179,600,4200,3.992,0.138,17.815,0.5
bb,120-179,900,4200,3.78,0.062,9.933,0.417
bb,120-179,1200,4200,3.506,0.022,5.708,0.483
bb,120-179,1500,4200,3.523,0.038,7.339,0.533
bb,120-179,1800,4200,2.694,0.01,3.652,0.533
bb,120-179,2100,4200,2.677,0.013,4.017,0.633
bb,120-179,2400,4200,2.506,0.005,2.99,0.683
bb,120-179,2700,4200,2.116,0.01,3.092,0.567
bb,120-179,3000,4200,1.706,0.005,2.19,0.75
bb,120-179,3300,4200,1.598,0.005,2.128,0.683
bb,120-179,3600,4200,1.452,0.003,1.733,0.55
bb,120-179,3900,4200,0.845,0.003,1.109,0.667
bb,120-179,4200,4200,0.904,0.003,1.186,0.667
bb,180-239,300,4200,4.657,1.325,137.2,0.25
bb,180-239,600,4200,4.416,0.269,31.276,0.35
bb,180-239,900,4200,3.855,0.089,12.735,0.483
bb,180-239,1200,4200,3.496,0.076,11.135,0.617
bb,180-239,1500,4200,3.415,0.021,5.529,0.55
bb,180-239,1800,4200,2.941,0.025,5.419,0.55
bb,180-239,2100,4200,3.049,0.02,5.034,0.567
bb,180-239,2400,4200,2.18,0.006,2.773,0.617
bb,180-239,2700,4200,1.956,0.005,2.412,0.583
bb,180-239,3000,4200,1.779,0.007,2.517,0.717
bb,180-239,3300,4200,1.265,0.005,1.744,0.667
bb,180-239,3600,4200,1.077,0.003,1.406,0.55
bb,180-239,3900,4200,0.835,0.004,1.186,0.617
bb,180-239,4200,4200,0.524,0.003,0.793,0.683
bb,240-299,300,4200,3.957,1.09,112.997,0.2
bb,240-299,600,4200,3.853,0.264,30.262,0.383
bb,240-299,900,4200,3.609,0.066,10.251,0.433
bb,240-299,1200,4200,3.343,0.03,6.336,0.617
bb,240-299,1500,4200,3.188,0.019,5.12,0.55
bb,240-299,1800,4200,2.831,0.01,3.805,0.567
bb,240-299,2100,4200,2.467,0.009,3.379,0.633
bb,240-299,2400,4200,2.277,0.008,3.112,0.7
bb,240-299,2700,4200,2.072,0.005,2.543,0.617
bb,240-299,3000,4200,1.45,0.005,1.999,0.65
bb,240-299,3300,4200,1.21,0.005,1.689,0.7
bb,240-299,3600,4200,1.009,0.004,1.428,0.65
bb,240-299,3900,4200,0.606,0.003,0.932,0.717
bb,240-299,4200,4200,0.597,0.002,0.81,0.617
