run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb_top1,0-59,300,4200,3.636,27.171,2720.686,0.0
bb_top1,0-59,600,4200,0.835,27.631,2763.937,0.0
bb_top1,0-59,900,4200,0.152,27.631,2763.254,0.0
bb_top1,0-59,1200,4200,0.107,27.631,2763.209,0.0
bb_top1,0-59,1500,4200,0.026,27.631,2763.128,0.0
bb_top1,0-59,1800,4200,0.046,27.631,2763.148,0.0
bb_top1,0-59,2100,4200,0.009,27.631,2763.111,0.0
bb_top1,0-59,2400,4200,0.008,27.631,2763.11,0.0
bb_top1,0-59,2700,4200,0.006,27.631,2763.108,0.0
bb_top1,0-59,3000,4200,0.003,27.631,2763.105,0.0
bb_top1,0-59,3300,4200,0.007,27.631,2763.109,0.0
bb_top1,0-59,3600,4200,0.002,27.631,2763.104,0.0
bb_top1,0-59,3900,4200,0.001,27.631,2763.104,0.0
bb_top1,0-59,4200,4200,0.002,27.631,2763.104,0.0
bb_top1,60-119,300,4200,3.243,27.631,2766.345,0.0
bb_top1,60-119,600,4200,0.629,27.631,2763.731,0.0
bb_top1,60-119,900,4200,0.172,27.631,2763.274,0.0
bb_top1,60-119,1200,4200,0.04,27.631,2763.142,0.0
bb_top1,60-119,1500,4200,0.026,27.631,2763.128,0.0
bb_top1,60-119,1800,4200,0.021,27.631,2763.123,0.0
bb_top1,60-119,2100,4200,0.01,27.631,2763.112,0.0
bb_top1,60-119,2400,4200,0.014,27.631,2763.116,0.0
bb_top1,60-119,2700,4200,0.003,27.631,2763.105,0.0
bb_top1,60-119,3000,4200,0.004,27.631,2763.106,0.0
bb_top1,60-119,3300,4200,0.004,27.631,2763.106,0.0
bb_top1,60-119,3600,4200,0.002,27.631,2763.104,0.0
bb_top1,60-119,3900,4200,0.002,27.631,2763.104,0.0
bb_top1,60-119,4200,4200,0.001,27.631,2763.103,0.0
bb_top1,120-179,300,4200,3.222,27.631,2766.324,0.0
bb_top1,120-179,600,4200,0.936,27.631,2764.038,0.0
bb_top1,120-179,900,4200,0.165,27.631,2763.267,0.0
bb_top1,120-179,1200,4200,0.093,27.631,2763.195,0.0
bb_top1,120-179,1500,4200,0.038,27.631,2763.14,0.0
bb_top1,120-179,1800,4200,0.016,27.631,2763.118,0.0
bb_top1,120-179,2100,4200,0.009,27.631,2763.111,0.0
bb_top1,120-179,2400,4200,0.03,27.631,2763.132,0.0
bb_top1,120-179,2700,4200,0.01,27.631,2763.112,0.0
bb_top1,120-179,3000,4200,0.005,27.631,2763.107,0.0
bb_top1,120-179,3300,4200,0.006,27.631,2763.108,0.0
bb_top1,120-179,3600,4200,0.003,27.631,2763.105,0.0
bb_top1,120-179,3900,4200,0.005,27.631,2763.107,0.0
bb_top1,120-179,4200,4200,0.003,27.631,2763.105,0.0
bb_top1,180-239,300,4200,3.047,27.631,2766.149,0.0
bb_top1,180-239,600,4200,0.849,27.631,2763.951,0.0
bb_top1,180-239,900,4200,0.134,27.631,2763.236,0.0
bb_top1,180-239,1200,4200,0.043,27.631,2763.145,0.0
bb_top1,180-239,1500,4200,0.032,27.631,2763.134,0.0
bb_top1,180-239,1800,4200,0.02,27.631,2763.122,0.0
bb_top1,180-239,2100,4200,0.01,27.631,2763.112,0.0
bb_top1,180-239,2400,4200,0.007,27.631,2763.109,0.0
bb_top1,180-239,2700,4200,0.006,27.631,2763.108,0.0
bb_top1,180-239,3000,4200,0.006,27.631,2763.108,0.0
bb_top1,180-239,3300,4200,0.003,27.631,2763.105,0.0
bb_top1,180-239,3600,4200,0.004,27.631,2763.106,0.0
bb_top1,180-239,3900,4200,0.003,27.631,2763.105,0.0
bb_top1,180-239,4200,4200,0.006,27.631,2763.108,0.0
bb_top1,240-299,300,4200,2.859,27.631,2765.961,0.0
bb_top1,240-299,600,4200,0.972,27.631,2764.073,0.0
bb_top1,240-299,900,4200,0.195,27.631,2763.297,0.0
bb_top1,240-299,1200,4200,0.079,27.631,2763.181,0.0
bb_top1,240-299,1500,4200,0.022,27.631,2763.124,0.0
bb_top1,240-299,1800,4200,0.021,27.631,2763.123,0.0
bb_top1,240-299,2100,4200,0.014,27.631,2763.116,0.0
bb_top1,240-299,2400,4200,0.014,27.631,2763.116,0.0
bb_top1,240-299,2700,4200,0.006,27.171,2717.057,0.017
bb_top1,240-299,3000,4200,0.003,27.171,2717.054,0.0
bb_top1,240-299,3300,4200,0.008,27.631,2763.11,0.0
bb_top1,240-299,3600,4200,0.004,26.71,2671.002,0.017
bb_top1,240-299,3900,4200,0.003,27.171,2717.054,0.0
bb_top1,240-299,4200,4200,0.004,27.631,2763.106,0.0
